Date,Price,Open,High,Low,Vol,percent
"Apr 29, 2014",48935.36,48865.47,48935.36,48611.6,164.23M,0.05%
"Apr 25, 2014",48910.9,48828.27,49052.49,48824.81,135.16M,-0.05%
"Apr 24, 2014",48934.51,48919.91,49069.63,48813.39,177.45M,0.59%
"Apr 23, 2014",48647.62,48643.31,48909.82,48643.31,169.66M,0.01%
"Apr 22, 2014",48643.31,48313.51,48645.66,48313.51,139.39M,0.58%
"Apr 17, 2014",48362.22,48156.42,48362.22,48006.66,143.07M,0.46%
"Apr 16, 2014",48139.69,48089.26,48193.28,47877.38,181.07M,0.73%
"Apr 15, 2014",47789.76,48112.88,48238.11,47746.11,186.63M,-0.88%
"Apr 14, 2014",48213.26,48040.82,48248.83,47922.68,165.69M,0.38%
"Apr 11, 2014",48032.41,48134.79,48224.51,47876.62,185.35M,-1.03%
"Apr 10, 2014",48529.88,48476.96,48683.37,48233.21,221.23M,0.49%
"Apr 09, 2014",48291.88,48207.7,48515.63,48207.7,222.07M,0.46%
"Apr 08, 2014",48069.53,48038.29,48069.53,47814.96,226.06M,0.44%
"Apr 07, 2014",47857.95,47844.5,48107.33,47798.22,195.11M,-1.01%
"Apr 04, 2014",48347.75,48278.68,48409.11,48188.82,218.71M,0.24%
"Apr 03, 2014",48231.39,48350.36,48611.69,48132.55,198.76M,-0.36%
"Apr 02, 2014",48405.9,48369.95,48473.99,48302.69,266.09M,0.63%
"Apr 01, 2014",48104.98,47925.73,48262.95,47878.84,189.22M,0.70%
"Mar 31, 2014",47770.92,47947,48137.67,47770.92,229.72M,-0.33%
"Mar 28, 2014",47930.03,47538.99,47930.03,47492.8,204.98M,1.16%
"Mar 27, 2014",47380.98,47193.57,47426.54,47191.39,193.80M,-0.57%
"Mar 26, 2014",47652.89,47545.32,47766.64,47545.32,188.40M,0.56%
"Mar 25, 2014",47387.56,46917.98,47477,46816.63,154.18M,1.09%
"Mar 24, 2014",46875.37,46708.4,47011.4,46700.42,174.08M,0.79%
"Mar 20, 2014",46508.27,46465.55,46685.15,46300.99,404.20M,-0.34%
"Mar 19, 2014",46666.54,47074.62,47121.44,46595.32,200.54M,-0.83%
"Mar 18, 2014",47059.19,46938.08,47198.13,46610.83,204.59M,0.52%
"Mar 17, 2014",46816.65,46273.71,46847.12,46204.53,160.74M,0.87%
"Mar 14, 2014",46412.4,46245.65,46448.74,46070.98,196.06M,-0.88%
